#{"t_start": 1741385346.9208233, "env_id": "None"}
r,l,t
-11430.0,288,212.326523
-11400.0,288,212.812235
-12087.0,288,213.269794
-11703.0,288,213.754827
-11438.0,288,214.44182
-9886.0,288,216.20198
-10277.0,288,216.702866
-12679.0,288,217.185914
-12270.0,288,217.654775
-13537.0,288,218.122944
-10845.0,288,218.590614
-11684.0,288,219.061382
-11473.0,288,219.574049
-13549.0,288,221.311782
-10852.0,288,221.784185
-11652.0,288,222.473769
-12606.0,288,222.961371
-10352.0,288,226.688919
-11150.0,288,227.153318
-11068.0,288,227.622466
-10872.0,288,229.281389
-12409.0,288,229.735287
-10819.0,288,230.438726
-10466.0,288,230.975201
-11715.0,288,231.463307
-10371.0,288,231.927602
-10561.0,288,232.398752
-9992.0,288,234.07779
-10143.0,288,234.593886
-10916.0,288,235.12449
-11954.0,288,235.608907
-10515.0,288,236.157908
-11970.0,288,236.651431
-11938.0,288,237.140994
-12803.0,288,242.230032
-13080.0,288,242.703232
-12734.0,288,243.17359
-12449.0,288,243.65768
-11457.0,288,244.141834
-12087.0,288,244.625122
-11060.0,288,245.093591
-10440.0,288,247.07995
-11707.0,288,247.556495
-11807.0,288,248.041732
-11340.0,288,248.505652
-10825.0,288,248.976661
-12548.0,288,249.44413
-11166.0,288,249.91567
-10838.0,288,251.674308
-11709.0,288,252.142556
-10330.0,288,252.611492
-11024.0,288,253.094933
-10055.0,288,256.846549
-13504.0,288,257.317744
-11784.0,288,257.800689
-12498.0,288,259.434056
-12447.0,288,259.921692
-13500.0,288,260.374927
-12337.0,288,260.861929
-12514.0,288,261.621219
-10390.0,288,262.116709
-11468.0,288,262.579988
-11179.0,288,264.253289
-12434.0,288,264.723214
-12773.0,288,265.204602
-12805.0,288,265.676382
-13756.0,288,266.146488
-10988.0,288,266.635832
-12337.0,288,267.149035
-11438.0,288,272.080059
-11069.0,288,272.603619
-10725.0,288,273.081477
-11063.0,288,273.548863
-12700.0,288,274.033723
-11933.0,288,274.505319
-11304.0,288,275.006391
-11517.0,288,275.462587
-10476.0,288,277.463146
-11511.0,288,277.942849
-11795.0,288,278.409855
-10670.0,288,278.895445
-12591.0,288,279.366353
-11054.0,288,279.835107
-12289.0,288,280.316202
-9742.0,288,282.034963
-12509.0,288,282.560614
-11695.0,288,286.276209
-10550.0,288,286.740176
-11008.0,288,287.192301
-12089.0,288,287.805147
-13096.0,288,288.275551
-11204.0,288,289.934373
-12323.0,288,290.382528
-11117.0,288,290.850084
-12744.0,288,291.303527
-11089.0,288,291.771846
-10180.0,288,292.477851
-9619.0,288,292.999518
-11921.0,288,294.662063
-10350.0,288,295.130483
-11967.0,288,295.585148
-12336.0,288,296.061643
-12265.0,288,296.538743
-11146.0,288,296.992996
-15069.0,288,300.807569
-10053.0,288,302.431078
-10467.0,288,302.927325
-11514.0,288,303.46644
-10561.0,288,303.938836
-12336.0,288,304.412821
-12494.0,288,304.867663
-10130.0,288,305.351246
-12213.0,288,306.98131
-11488.0,288,307.467861
-11271.0,288,308.241664
-13010.0,288,308.752412
-10254.0,288,309.241011
-10981.0,288,309.710581
-11676.0,288,310.180836
-12170.0,288,312.034007
-11069.0,288,312.500559
-11141.0,288,316.427211
-13030.0,288,316.884247
-8561.0,288,317.351748
-12043.0,288,317.820409
-10499.0,288,318.30178
-14330.0,288,320.01411
-11597.0,288,320.498855
-13153.0,288,320.95503
-10286.0,288,321.426214
-11960.0,288,321.895024
-12213.0,288,322.34973
-11982.0,288,322.835951
-11914.0,288,324.741035
-10209.0,288,325.243475
-11223.0,288,325.712152
-11617.0,288,326.182722
-11867.0,288,326.648695
-11689.0,288,330.310536
-12044.0,288,330.782149
-9619.0,288,331.52877
-12570.0,288,333.227188
-10206.0,288,333.703055
-10190.0,288,334.168288
-11853.0,288,334.63586
-12467.0,288,335.102481
-10418.0,288,335.569703
-11187.0,288,336.062248
-9786.0,288,337.779208
-10373.0,288,338.267398
-11964.0,288,338.735919
-11348.0,288,339.410258
-10968.0,288,339.882307
-12721.0,288,340.354035
-9971.0,288,340.834269
-12844.0,288,342.580781
-10130.0,288,346.310797
-11767.0,288,346.765156
-11116.0,288,347.571471
-12762.0,288,348.042571
-10917.0,288,348.505922
-12229.0,288,348.977972
-11086.0,288,350.634927
-12645.0,288,351.103641
-10418.0,288,351.586637
-11471.0,288,352.078444
-11585.0,288,352.572528
-11367.0,288,353.044659
-11193.0,288,353.526883
-9653.0,288,355.169754
-12482.0,288,355.861536
-10492.0,288,356.331797
-11218.0,288,356.802245
-11759.0,288,360.620225
-11513.0,288,361.086992
-11936.0,288,361.55317
-11787.0,288,363.2959
-11071.0,288,363.988911
-11308.0,288,364.469511
-12332.0,288,364.941096
-12958.0,288,365.412257
-10466.0,288,365.896918
-9255.0,288,366.35238
-10412.0,288,368.136168
-11081.0,288,368.620286
-11830.0,288,369.088625
-10178.0,288,369.56845
-9179.0,288,370.027055
-14943.0,288,370.497152
-11995.0,288,371.198807
