#{"t_start": 1739931590.9300845, "env_id": "None"}
r,l,t
-11597.0,288,221.480769
-10191.0,288,221.951122
-12316.0,288,222.438788
-11171.0,288,222.908892
-10053.0,288,223.482857
-11588.0,288,225.160291
-11431.0,288,225.804711
-11697.0,288,226.275966
-12947.0,288,226.746726
-10907.0,288,227.234384
-11444.0,288,227.754364
-9943.0,288,228.228843
-11703.0,288,228.748455
-10895.0,288,230.459875
-11876.0,288,231.072046
-10991.0,288,231.561918
-11525.0,288,232.060887
-11696.0,288,236.057713
-11974.0,288,236.701951
-12474.0,288,237.172302
-9205.0,288,238.900774
-11469.0,288,239.394302
-8950.0,288,239.86377
-11782.0,288,240.332518
-12115.0,288,240.819002
-11264.0,288,241.290363
-12075.0,288,241.917792
-11535.0,288,243.630094
-13646.0,288,244.171084
-11809.0,288,244.641013
-11897.0,288,245.127335
-12975.0,288,245.645615
-12141.0,288,246.11751
-9795.0,288,246.589808
-11565.0,288,251.771709
-10767.0,288,252.258146
-10572.0,288,252.744078
-11849.0,288,253.375492
-10230.0,288,253.846874
-12648.0,288,254.42213
-12897.0,288,254.907254
-11444.0,288,256.599351
-10445.0,288,257.072588
-9551.0,288,257.56145
-10436.0,288,258.031694
-13700.0,288,258.675518
-12075.0,288,259.145878
-10066.0,288,259.656374
-10760.0,288,261.34112
-11336.0,288,261.83146
-11109.0,288,262.302084
-11574.0,288,262.774536
-10001.0,288,266.823461
-12256.0,288,267.290516
-11119.0,288,267.791144
-12508.0,288,269.446011
-12434.0,288,269.973462
-11578.0,288,270.622442
-12253.0,288,271.091266
-10719.0,288,271.576213
-10514.0,288,272.061512
-9699.0,288,272.532601
-10125.0,288,274.20099
-10573.0,288,274.765792
-9741.0,288,275.255741
-10405.0,288,275.869626
-12292.0,288,276.356956
-12935.0,288,276.845332
-10118.0,288,277.316409
-10488.0,288,282.485816
-11130.0,288,283.016848
-11694.0,288,283.498144
-10043.0,288,283.968332
-11502.0,288,284.455625
-11623.0,288,284.926156
-10195.0,288,285.41275
-11699.0,288,286.039721
-10667.0,288,287.807743
-12118.0,288,288.289066
-10894.0,288,288.760839
-13115.0,288,289.24683
-11324.0,288,289.733212
-10670.0,288,290.204663
-12572.0,288,290.675727
-11535.0,288,292.520204
-11900.0,288,293.042933
-14694.0,288,296.92954
-13370.0,288,297.395538
-11923.0,288,298.044272
-12023.0,288,298.552569
-11191.0,288,299.019911
-13017.0,288,300.716644
-10886.0,288,301.187393
-10742.0,288,301.660007
-12003.0,288,302.12969
-12824.0,288,302.601178
-10213.0,288,303.262061
-11797.0,288,303.756359
-11060.0,288,305.444085
-10292.0,288,305.924378
-11776.0,288,306.395465
-11875.0,288,306.867916
-12946.0,288,307.353725
-10656.0,288,307.825994
-11947.0,288,311.877271
-9975.0,288,313.871747
-12504.0,288,314.356274
-10772.0,288,314.844634
-14632.0,288,315.471348
-11095.0,288,315.957032
-11425.0,288,316.442568
-9494.0,288,316.927595
-10187.0,288,318.723626
-11577.0,288,319.213667
-10621.0,288,319.682362
-10734.0,288,320.154832
-10268.0,288,320.784617
-10851.0,288,321.254385
-9921.0,288,321.7429
-10922.0,288,323.448529
-11362.0,288,323.977847
-11279.0,288,327.988156
-11873.0,288,328.461748
-13100.0,288,328.969932
-11871.0,288,329.473618
-10264.0,288,329.951975
-10590.0,288,331.60752
-9956.0,288,332.236008
-10438.0,288,332.708865
-12373.0,288,333.195961
-10579.0,288,333.686974
-11116.0,288,334.221353
-11281.0,288,334.708365
-11335.0,288,336.374962
-11806.0,288,336.876661
-11754.0,288,337.502592
-10709.0,288,337.988806
-12893.0,288,338.462673
-9885.0,288,342.330786
-11663.0,288,342.962222
-10215.0,288,343.461429
-13002.0,288,345.248291
-12399.0,288,345.717155
-9873.0,288,346.189279
-9916.0,288,346.674923
-10027.0,288,347.161565
-11602.0,288,347.631867
-12110.0,288,348.2783
-11402.0,288,350.073868
-10385.0,288,350.555031
-13126.0,288,351.026181
-10745.0,288,351.528824
-11443.0,288,352.000203
-12932.0,288,352.470377
-12379.0,288,352.95858
-13259.0,288,354.962902
-9518.0,288,358.766091
-11387.0,288,359.252546
-10716.0,288,359.944714
-10428.0,288,360.445042
-9882.0,288,360.905054
-11335.0,288,361.392283
-10909.0,288,363.076631
-10680.0,288,363.562882
-12508.0,288,364.051895
-13089.0,288,364.53583
-12603.0,288,365.203983
-10842.0,288,365.709622
-10928.0,288,366.181602
-12332.0,288,367.867015
-11054.0,288,368.350624
-12356.0,288,368.820939
-11123.0,288,369.30995
-11410.0,288,373.359924
-10489.0,288,373.828783
-12225.0,288,374.314198
-11030.0,288,376.163729
-9641.0,288,376.648828
-11654.0,288,377.258811
-11425.0,288,377.743819
-9912.0,288,378.22994
-12207.0,288,378.699163
-12190.0,288,379.184158
-11655.0,288,380.961298
-11503.0,288,381.439183
-10401.0,288,381.92481
-10934.0,288,382.569331
-11046.0,288,383.04056
-14025.0,288,383.526873
-10945.0,288,384.045149
-12186.0,288,385.847807
-13672.0,288,389.87625
-10176.0,288,390.362797
-10270.0,288,390.913185
-12644.0,288,391.397663
-11012.0,288,391.867806
-11209.0,288,392.354628
-9935.0,288,394.182083
-10850.0,288,394.683751
-10307.0,288,395.153551
-10756.0,288,395.641088
-11578.0,288,396.174721
-11826.0,288,396.676175
-11300.0,288,397.159968
-11209.0,288,397.645418
-10379.0,288,399.459224
-10444.0,288,399.946262
-13593.0,288,400.418742
-12053.0,288,405.038587
-11667.0,288,405.698491
-11573.0,288,406.244136
-10829.0,288,406.850074
-10805.0,288,408.739371
-15097.0,288,409.297292
-11955.0,288,409.801275
-12057.0,288,410.320543
-10991.0,288,410.807636
-13468.0,288,411.498495
-11969.0,288,411.981348
-11174.0,288,413.866822
-11280.0,288,414.410224
-10876.0,288,414.952676
-10885.0,288,415.488475
-13173.0,288,415.981389
-10193.0,288,416.472688
-15046.0,288,420.659703
-10808.0,288,422.614102
-11169.0,288,423.094283
-12043.0,288,423.564435
-11025.0,288,424.207679
-12650.0,288,424.684556
-10076.0,288,425.146478
-10896.0,288,425.649557
-9467.0,288,427.398426
-10084.0,288,427.884591
-12181.0,288,428.353205
-11205.0,288,428.838912
-10982.0,288,429.465038
-11749.0,288,429.934037
-10950.0,288,430.419158
-10089.0,288,432.136788
-12525.0,288,432.674736
-11924.0,288,433.158347
-13436.0,288,437.183264
-12113.0,288,437.673124
-11815.0,288,438.206079
-10432.0,288,438.679523
-8659.0,288,440.405539
-12154.0,288,441.016263
-9930.0,288,441.486287
-13396.0,288,441.987544
-13283.0,288,442.457451
-9945.0,288,442.943452
-11715.0,288,443.487705
-11401.0,288,445.180392
-11677.0,288,445.667632
-11066.0,288,446.293099
-9925.0,288,446.769001
-13244.0,288,447.248012
-13777.0,288,447.717656
-11751.0,288,451.727533
-10979.0,288,453.479673
-13271.0,288,454.003787
-10520.0,288,454.472764
-10086.0,288,454.958187
-10535.0,288,455.429249
-11261.0,288,455.915336
-10754.0,288,456.384341
-11497.0,288,457.010165
-10041.0,288,458.753268
-12003.0,288,459.251098
-11719.0,288,459.737884
-11726.0,288,460.222434
-11857.0,288,460.69252
-10282.0,288,461.181238
-14084.0,288,461.682535
-11599.0,288,463.505099
-11750.0,288,467.399058
-11453.0,288,467.859406
-10992.0,288,468.502679
-10825.0,288,469.053567
-10035.0,288,469.532491
-10550.0,288,470.019599
-12465.0,288,471.714657
-11678.0,288,472.187284
-11197.0,288,472.670706
-11225.0,288,473.157791
-12236.0,288,473.783637
-11041.0,288,474.320387
-10234.0,288,474.806812
-12150.0,288,476.514847
-10609.0,288,477.015281
-11420.0,288,477.484978
-10875.0,288,477.970351
-13126.0,288,478.458677
-11484.0,288,482.474353
-12111.0,288,482.944995
-13619.0,288,484.739731
-11888.0,288,485.210424
-12066.0,288,485.848314
-11092.0,288,486.333636
-10660.0,288,486.8195
-10043.0,288,487.290464
-11212.0,288,487.776893
-13963.0,288,489.538264
-10740.0,288,490.035907
-10455.0,288,490.528364
-10168.0,288,491.140494
-12440.0,288,491.626437
-9715.0,288,492.097419
-11832.0,288,492.584999
-13122.0,288,494.309969
-10806.0,288,498.350272
-12315.0,288,498.819695
-10021.0,288,499.305855
-10808.0,288,499.841256
-10831.0,288,500.322618
-9611.0,288,500.780825
-13701.0,288,502.467027
-11807.0,288,503.079345
-9731.0,288,503.580868
-10354.0,288,504.050267
-13482.0,288,504.520295
