#{"t_start": 1741202062.4214797, "env_id": "None"}
r,l,t
-11111.0,288,4.732271
-11380.0,288,5.34155
-10348.0,288,5.853495
-12031.0,288,6.387788
-11181.0,288,6.915297
-10499.0,288,7.443884
-10679.0,288,7.958814
-8531.0,288,9.788043
-11352.0,288,10.446917
-9282.0,288,10.96255
-8163.0,288,11.484033
-11360.0,288,12.018106
-11735.0,288,12.613393
-9993.0,288,13.134967
-10535.0,288,15.089444
-11567.0,288,15.592302
-12755.0,288,16.282051
-9969.0,288,23.272264
-12723.0,288,24.036861
-12077.0,288,24.685585
-12323.0,288,25.478942
-13036.0,288,28.481026
-12815.0,288,29.210123
-10018.0,288,29.788573
-10327.0,288,30.394422
-11333.0,288,31.129218
-12054.0,288,31.700575
-12802.0,288,32.270082
-10618.0,288,35.226513
-11804.0,288,35.854713
-12848.0,288,36.456606
-11670.0,288,37.027106
-11204.0,288,37.625369
-12354.0,288,38.181755
-10563.0,288,43.090446
-10581.0,288,45.387573
-13775.0,288,45.940129
-11341.0,288,46.50856
-10596.0,288,47.091082
-11361.0,288,47.836935
-11605.0,288,48.402921
-9658.0,288,48.887777
-11405.0,288,50.786172
-12905.0,288,51.314743
-12024.0,288,51.834543
-10829.0,288,52.357786
-11563.0,288,52.886688
-10536.0,288,53.553293
-10044.0,288,54.039629
-10880.0,288,55.987062
-12039.0,288,56.539265
-12374.0,288,57.064095
-11166.0,288,60.848181
-11626.0,288,61.380282
-10736.0,288,61.90613
-11888.0,288,62.40571
-9528.0,288,64.274815
-10961.0,288,64.812075
-12000.0,288,65.470811
-10670.0,288,66.014731
-12619.0,288,66.513499
-12270.0,288,66.990139
-10700.0,288,67.491619
-11294.0,288,67.987609
-12189.0,288,69.786701
-10366.0,288,70.310529
-11334.0,288,70.938204
-12299.0,288,71.425603
-12487.0,288,71.925099
-13147.0,288,76.090683
-11521.0,288,76.779033
-9766.0,288,78.65688
-9853.0,288,79.150924
-10993.0,288,79.680731
-10343.0,288,80.179653
-11416.0,288,80.660835
-12102.0,288,81.158712
-9932.0,288,81.716722
-11360.0,288,83.776005
-12433.0,288,84.359146
-11915.0,288,85.141247
-11803.0,288,85.66432
-10131.0,288,86.177546
-11310.0,288,86.673504
-10628.0,288,87.246235
-11081.0,288,89.535596
-11550.0,288,93.699783
-11329.0,288,94.21406
-11276.0,288,94.741878
-12375.0,288,95.397127
-11885.0,288,95.919236
-13208.0,288,96.444966
-11279.0,288,98.257634
-11441.0,288,98.762635
-11383.0,288,99.280075
-12034.0,288,99.785487
-10874.0,288,100.289168
-12261.0,288,100.954793
-11744.0,288,101.462625
-10059.0,288,103.239231
-10838.0,288,103.741699
-12824.0,288,104.229149
-13228.0,288,104.72331
-11870.0,288,105.248347
-10894.0,288,109.266346
-11474.0,288,109.776547
-11888.0,288,111.623153
-10860.0,288,112.116434
-10262.0,288,112.81635
-11006.0,288,113.367664
-9605.0,288,113.869294
-11171.0,288,114.37319
-8929.0,288,114.899845
-11123.0,288,116.825726
-10269.0,288,117.325388
-12354.0,288,117.829114
-13498.0,288,118.446999
-11462.0,288,118.947288
-10758.0,288,119.480947
-11855.0,288,120.014795
-13262.0,288,122.126865
-13200.0,288,126.285971
-11597.0,288,126.773685
-11963.0,288,127.25245
-10455.0,288,127.727288
-8912.0,288,128.214145
-10799.0,288,128.694919
-12067.0,288,129.163485
-10390.0,288,131.07612
-13649.0,288,131.550433
-10910.0,288,132.026815
-13830.0,288,132.534634
-12714.0,288,133.002345
-10911.0,288,133.475035
-13570.0,288,133.955202
-11870.0,288,135.645435
-11296.0,288,136.283733
-12251.0,288,136.792099
-13261.0,288,140.431578
-12497.0,288,141.068008
-13525.0,288,141.547881
-11308.0,288,142.016986
-11946.0,288,143.718746
-12069.0,288,144.218714
-11474.0,288,144.68488
-11170.0,288,145.155044
-10869.0,288,145.649269
-12602.0,288,146.258238
-10254.0,288,146.769824
-11699.0,288,148.530827
-11933.0,288,149.02771
-11089.0,288,149.520883
-11074.0,288,150.024868
-10789.0,288,150.52241
-11770.0,288,151.006944
-9393.0,288,151.638799
-12618.0,288,156.530526
-8993.0,288,157.013977
-10739.0,288,157.642574
-12562.0,288,158.123235
-11603.0,288,158.60938
-10640.0,288,159.09485
-10925.0,288,159.579029
-12903.0,288,161.300139
-10411.0,288,161.779409
-11427.0,288,162.272241
-12927.0,288,162.913795
-10753.0,288,163.41253
-11284.0,288,163.895468
-9669.0,288,164.374288
-12513.0,288,166.117183
-10282.0,288,166.609936
-11705.0,288,167.0813
-13253.0,288,170.842406
-10403.0,288,171.314217
-11386.0,288,171.792697
-13420.0,288,172.2687
-10341.0,288,174.06852
-12857.0,288,174.544302
-11502.0,288,175.013091
-12991.0,288,175.481339
-9733.0,288,175.946756
-10468.0,288,176.429327
-13391.0,288,176.895591
-11470.0,288,178.577061
-12121.0,288,179.226442
-11618.0,288,179.700342
-14466.0,288,180.193402
-9435.0,288,180.696572
-11301.0,288,181.185435
-11275.0,288,184.926364
-11430.0,288,185.415215
-11296.0,288,187.080394
-11289.0,288,187.559334
-11430.0,288,188.030493
-11865.0,288,188.517295
-11181.0,288,189.156462
-11305.0,288,189.655218
-10709.0,288,190.121115
-10748.0,288,191.823926
-12358.0,288,192.314363
-12756.0,288,192.819041
-12885.0,288,193.302079
-10810.0,288,193.810049
-11874.0,288,194.438971
-13399.0,288,194.904091
-11161.0,288,196.597986
-10589.0,288,197.064953
-10726.0,288,201.010069
-12462.0,288,201.505473
-13085.0,288,201.99701
-9833.0,288,202.507936
-10758.0,288,203.005759
-10913.0,288,204.68119
-10689.0,288,205.176511
-10201.0,288,205.645196
-11384.0,288,206.255785
-12258.0,288,206.725689
-10828.0,288,207.213178
-9670.0,288,207.686061
-12505.0,288,209.531689
-11700.0,288,210.02215
-10469.0,288,210.610156
-10325.0,288,211.115061
-11275.0,288,211.758997
-10863.0,288,215.57297
-12896.0,288,216.070302
-11715.0,288,217.8975
-10113.0,288,218.384614
-10381.0,288,218.86852
-12667.0,288,219.349733
-10851.0,288,219.833733
-10613.0,288,220.318889
-11166.0,288,220.815413
-11109.0,288,222.564553
-9818.0,288,223.204062
-10294.0,288,223.707764
-10901.0,288,224.200756
-11935.0,288,224.677901
-12574.0,288,225.164605
-13556.0,288,225.64766
-12408.0,288,227.339979
-11285.0,288,227.83638
-11135.0,288,231.682052
-12895.0,288,232.159091
-12376.0,288,232.644278
-11270.0,288,233.120657
-12063.0,288,233.766019
-11522.0,288,235.433402
-12220.0,288,235.950419
-12343.0,288,236.429501
-11253.0,288,236.911273
-11424.0,288,237.385314
-10197.0,288,237.865222
-12063.0,288,238.364072
-11695.0,288,238.998064
-11720.0,288,240.67643
-12285.0,288,241.15718
-10915.0,288,241.630978
-12864.0,288,242.10258
-12759.0,288,246.053357
-11787.0,288,246.532876
-12108.0,288,247.031759
-11336.0,288,248.698855
-12221.0,288,249.18438
-13941.0,288,249.658031
-12220.0,288,250.286414
-12016.0,288,250.772901
-11959.0,288,251.252093
-13004.0,288,251.739283
-11583.0,288,253.427476
-11357.0,288,253.914153
-9131.0,288,254.380656
-12607.0,288,254.848188
-11365.0,288,255.459486
-11783.0,288,255.954619
-12188.0,288,256.442029
-13294.0,288,261.495272
-10764.0,288,262.124308
-12392.0,288,262.613624
-10181.0,288,263.090384
-13704.0,288,263.569918
-11941.0,288,264.055029
-13072.0,288,264.586474
-10331.0,288,266.266313
-9444.0,288,266.755184
-9830.0,288,267.387172
-10424.0,288,267.870562
-10616.0,288,268.354502
-11019.0,288,268.835392
-14637.0,288,269.330799
-10984.0,288,270.987159
-10283.0,288,271.48486
-12129.0,288,271.964961
-13148.0,288,272.59013
-10997.0,288,276.344791
-11686.0,288,276.807456
-10260.0,288,277.419634
-10520.0,288,279.115099
-10449.0,288,279.592905
-12282.0,288,280.084011
-12034.0,288,280.550561
-11650.0,288,281.015257
-12152.0,288,281.483871
-10988.0,288,281.966057
-10871.0,288,283.763863
-12667.0,288,284.247383
-11811.0,288,284.727547
-12837.0,288,285.200227
-10876.0,288,285.691503
-9792.0,288,286.165674
-10717.0,288,286.641236
-9744.0,288,291.766376
-10805.0,288,292.253735
-12144.0,288,292.718961
-10636.0,288,293.19843
-10950.0,288,293.664829
-13230.0,288,294.280543
-11473.0,288,294.748622
-12573.0,288,295.216351
-11136.0,288,297.007611
-11932.0,288,297.474562
-10912.0,288,297.953328
-12292.0,288,298.419221
-11309.0,288,298.882682
-12300.0,288,299.493529
-9368.0,288,299.976228
-11003.0,288,301.676085
-12791.0,288,302.170763
-11576.0,288,306.124794
-11864.0,288,306.619714
-11893.0,288,307.105639
-11203.0,288,307.593515
-11394.0,288,308.065924
-9420.0,288,309.787627
-12755.0,288,310.268834
-12289.0,288,310.753722
-12669.0,288,311.400364
-12075.0,288,311.883973
-12468.0,288,312.366376
-11022.0,288,312.849158
-10809.0,288,314.570585
-11046.0,288,315.055121
-10380.0,288,315.545776
-9677.0,288,316.026454
-12357.0,288,316.649281
-10316.0,288,317.12081
-12864.0,288,320.938552
-10374.0,288,322.783602
-11577.0,288,323.247146
-10417.0,288,323.718305
-12539.0,288,324.21092
-10308.0,288,324.679985
-10601.0,288,325.146587
-10439.0,288,325.612512
-10532.0,288,327.288508
-10472.0,288,327.913357
-10156.0,288,328.399976
-12144.0,288,328.882954
-12394.0,288,329.353255
-11145.0,288,329.820847
-9507.0,288,330.30079
-10317.0,288,332.003014
-12050.0,288,332.48446
-12777.0,288,336.246334
-12216.0,288,336.712959
-13340.0,288,337.181898
-10231.0,288,337.810855
-10855.0,288,338.274572
-10320.0,288,339.933613
-10094.0,288,340.431982
-12258.0,288,340.90805
-12461.0,288,341.370729
-12880.0,288,341.844915
-13522.0,288,342.3244
-12037.0,288,342.961892
-10889.0,288,344.694842
-10205.0,288,345.190758
-10968.0,288,345.679123
-12291.0,288,346.175536
-10590.0,288,346.661058
-11656.0,288,350.54439
-12053.0,288,351.033417
-11829.0,288,351.515301
-11752.0,288,353.220428
-13111.0,288,353.701289
-12536.0,288,354.181184
-11629.0,288,354.817935
-12422.0,288,355.312353
-12091.0,288,355.792283
-8370.0,288,356.277534
-11788.0,288,358.037741
-10943.0,288,358.527374
-11492.0,288,359.018911
-9548.0,288,359.513651
-12232.0,288,360.14064
-11053.0,288,360.626238
-10474.0,288,361.105511
-9653.0,288,362.822587
-10808.0,288,366.719523
-11316.0,288,367.211061
-9344.0,288,367.703658
-12520.0,288,368.191195
-10735.0,288,368.660724
-9235.0,288,369.127751
-11303.0,288,370.800526
-10380.0,288,371.454529
-12077.0,288,371.952437
-11701.0,288,372.446456
-11176.0,288,372.925954
-11891.0,288,373.391306
-12471.0,288,373.862272
-10471.0,288,375.595428
-13330.0,288,376.077803
-12009.0,288,376.70715
-11837.0,288,377.213003
-13548.0,288,380.891338
-10052.0,288,381.3823
-12783.0,288,382.016229
-11392.0,288,383.742627
-12387.0,288,384.236487
-11369.0,288,384.711019
-13043.0,288,385.188158
-13138.0,288,385.662909
-10623.0,288,386.154166
-11425.0,288,386.640378
-12164.0,288,388.522083
-9121.0,288,389.009541
-12326.0,288,389.494009
-12645.0,288,389.976359
-12161.0,288,390.464515
-12875.0,288,390.937633
-10828.0,288,391.410561
-9655.0,288,393.090105
-11986.0,288,396.841715
-11762.0,288,397.322266
-13058.0,288,397.812401
-11337.0,288,398.437387
-11435.0,288,398.923113
-9767.0,288,399.416625
-12313.0,288,401.102907
-11542.0,288,401.62977
-12225.0,288,402.116513
-11435.0,288,402.592085
-11279.0,288,403.073523
-12383.0,288,403.943919
-9474.0,288,404.724162
-10585.0,288,405.498558
-10604.0,288,407.629108
-9800.0,288,408.141111
-10768.0,288,408.630883
-11239.0,288,412.787631
-10732.0,288,413.332947
-12464.0,288,413.904781
-12383.0,288,414.453286
-12995.0,288,416.40407
-10609.0,288,416.937007
-10725.0,288,417.641342
-11613.0,288,418.204269
-11907.0,288,418.745292
-12052.0,288,419.256854
-10644.0,288,419.835285
-11225.0,288,422.252457
-12642.0,288,422.81599
-13991.0,288,423.351841
-10063.0,288,424.003189
-11108.0,288,424.55648
-10610.0,288,425.083277
-11789.0,288,429.557317
-11955.0,288,431.631343
-11641.0,288,432.166596
-11220.0,288,432.698953
-10371.0,288,433.229627
-10464.0,288,433.730481
-12320.0,288,434.244958
-10370.0,288,434.784832
-10776.0,288,436.959148
-11174.0,288,437.508555
-11572.0,288,438.052025
-11918.0,288,438.622596
-11889.0,288,439.183048
-10807.0,288,439.746034
-13681.0,288,440.283941
-12802.0,288,442.246959
-11478.0,288,442.906786
-10195.0,288,443.417661
-10736.0,288,447.5984
-11131.0,288,448.132796
-12536.0,288,448.845257
-11697.0,288,449.382896
-11757.0,288,451.407503
-10216.0,288,451.943195
-11883.0,288,452.478496
-10084.0,288,453.031684
-11751.0,288,453.569182
-12090.0,288,454.113094
-10705.0,288,454.802976
-12025.0,288,456.739858
-12431.0,288,457.332658
-11997.0,288,457.857391
-11658.0,288,458.375609
-12577.0,288,458.933819
-10530.0,288,459.462889
-12784.0,288,463.778785
-11591.0,288,465.682548
-12010.0,288,466.254301
-11822.0,288,466.756981
-10677.0,288,467.413245
-11040.0,288,467.929617
-11334.0,288,468.466011
-10622.0,288,468.995793
-11477.0,288,469.530748
-12114.0,288,471.420799
-10182.0,288,471.93289
-10615.0,288,472.462074
-11276.0,288,473.154314
-12772.0,288,473.688565
-12161.0,288,474.217404
-11709.0,288,474.803138
-11100.0,288,476.997424
-11563.0,288,481.316269
-12599.0,288,481.880242
-13286.0,288,482.413941
-10657.0,288,482.995476
-9624.0,288,483.557003
-12574.0,288,484.114769
-11991.0,288,486.253369
-11327.0,288,486.90613
-11513.0,288,487.407019
-11137.0,288,487.912299
-12753.0,288,488.432426
-12530.0,288,488.984731
-10465.0,288,489.491278
-9323.0,288,491.276627
-11514.0,288,491.792992
-11625.0,288,492.43097
-10655.0,288,492.937222
-10165.0,288,493.436022
-9749.0,288,497.36215
-11419.0,288,498.010446
-11819.0,288,499.774398
-11241.0,288,500.280411
-12196.0,288,500.771536
-10860.0,288,501.280899
-9893.0,288,501.781543
-10913.0,288,502.292906
-13039.0,288,502.789685
-11152.0,288,504.710403
-11991.0,288,505.213093
-11815.0,288,505.71233
-11800.0,288,506.218916
-11527.0,288,506.714102
-11691.0,288,507.206192
-11042.0,288,507.699016
-10926.0,288,509.591679
-11589.0,288,513.536075
-9834.0,288,514.028172
-10349.0,288,514.528691
-10565.0,288,515.183805
-10252.0,288,515.676704
-11650.0,288,516.167331
-11150.0,288,517.997545
-10014.0,288,518.495143
-12835.0,288,518.979738
-10057.0,288,519.480357
-11975.0,288,519.976204
-10643.0,288,520.622592
-11754.0,288,521.124447
-11408.0,288,522.868056
-12041.0,288,523.366277
-11614.0,288,523.869223
-14161.0,288,524.36703
-11630.0,288,528.455652
-9701.0,288,528.945683
-10991.0,288,529.432608
-11330.0,288,529.91965
-11852.0,288,531.681007
-11562.0,288,532.163652
-10643.0,288,532.821123
