#{"t_start": 1741205803.8407016, "env_id": "None"}
r,l,t
-10760.0,288,3.028933
-12962.0,288,3.619144
-10927.0,288,4.203689
-9370.0,288,4.80795
-11818.0,288,5.310966
-10526.0,288,5.801675
-9932.0,288,6.301507
-14554.0,288,8.034922
-12333.0,288,8.664752
-10899.0,288,9.148293
-9726.0,288,9.662099
-12005.0,288,10.154809
-10194.0,288,10.646117
-13340.0,288,11.127259
-11521.0,288,12.833377
-11654.0,288,13.302795
-9723.0,288,13.92264
-10532.0,288,17.554258
-9884.0,288,18.032333
-11489.0,288,18.668585
-12673.0,288,19.168181
-10666.0,288,21.440958
-11495.0,288,21.989921
-11121.0,288,22.494102
-11137.0,288,23.167796
-11651.0,288,23.673923
-10598.0,288,24.202565
-12124.0,288,24.817669
-12935.0,288,26.633783
-10203.0,288,27.122109
-12402.0,288,27.607121
-11406.0,288,28.090967
-11973.0,288,28.591531
-11645.0,288,29.08878
-11275.0,288,32.808411
-10388.0,288,34.473344
-12458.0,288,34.975565
-9724.0,288,35.463446
-11673.0,288,36.086793
-11814.0,288,36.580176
-13387.0,288,37.070197
-10211.0,288,37.555581
-10114.0,288,39.25292
-10440.0,288,39.738205
-11383.0,288,40.218252
-12424.0,288,40.695216
-13079.0,288,41.331018
-12171.0,288,41.824031
-10593.0,288,42.31037
-10213.0,288,44.003238
-10778.0,288,44.500109
-11103.0,288,44.983644
-12743.0,288,48.862184
-11977.0,288,49.347226
-11142.0,288,49.830201
-11127.0,288,50.321118
-12597.0,288,51.985738
-11962.0,288,52.483158
-11374.0,288,53.112549
-12549.0,288,53.601458
-9775.0,288,54.088508
-11305.0,288,54.590881
-11736.0,288,55.078548
-9874.0,288,55.566118
-10830.0,288,57.282706
-11004.0,288,57.772585
-12444.0,288,58.395668
-11470.0,288,58.868706
-11186.0,288,59.352978
-9568.0,288,63.296133
-10924.0,288,63.792924
-11081.0,288,65.455184
-11255.0,288,65.951153
-10003.0,288,66.433816
-11226.0,288,66.916359
-10924.0,288,67.397232
-12571.0,288,67.885791
-10418.0,288,68.505681
-12251.0,288,70.180866
-11851.0,288,70.663767
-11509.0,288,71.148467
-11165.0,288,71.626171
-12963.0,288,72.09826
-11199.0,288,72.591651
-11463.0,288,73.07735
-11232.0,288,74.918277
-12111.0,288,78.614292
-10702.0,288,79.091941
-12792.0,288,79.554716
-11265.0,288,80.195636
-9532.0,288,80.701661
-13185.0,288,81.243621
-10530.0,288,82.925766
-10851.0,288,83.423764
-11080.0,288,83.888133
-11498.0,288,84.353015
-11895.0,288,84.818912
-11979.0,288,85.440234
-10996.0,288,85.90746
-10926.0,288,87.599241
-10064.0,288,88.081753
-10392.0,288,88.552
-11204.0,288,89.027128
-11600.0,288,89.507241
-10179.0,288,93.440927
-11544.0,288,93.913491
-10193.0,288,95.588789
-12366.0,288,96.060154
-12650.0,288,96.679587
-10294.0,288,97.164148
-12625.0,288,97.650125
-9947.0,288,98.136364
-10887.0,288,98.637758
-11541.0,288,100.380124
-11000.0,288,100.867007
-11123.0,288,101.337331
-10394.0,288,101.949748
-11808.0,288,102.414237
-11227.0,288,102.884356
-9888.0,288,103.367954
-11157.0,288,105.013313
-11285.0,288,108.662563
-12826.0,288,109.133947
-11126.0,288,109.607266
-13473.0,288,110.086062
-12317.0,288,110.571074
-12453.0,288,111.052967
-11148.0,288,111.658733
-10550.0,288,113.336462
-11811.0,288,113.803075
-11551.0,288,114.287941
-10971.0,288,114.750932
-11528.0,288,115.226365
-10526.0,288,115.706079
-11355.0,288,116.196596
-12803.0,288,118.019496
-12061.0,288,118.497696
-11160.0,288,118.965152
-12536.0,288,122.461999
-13205.0,288,123.118989
-9614.0,288,123.595548
-12221.0,288,124.094287
-10214.0,288,125.787325
-9616.0,288,126.269836
-10277.0,288,126.749506
-11946.0,288,127.232619
-11768.0,288,127.72385
-11147.0,288,128.346165
-12629.0,288,128.830808
-10337.0,288,130.516317
-11688.0,288,130.991817
-10252.0,288,131.475945
-10311.0,288,131.967627
-9982.0,288,132.449877
-9786.0,288,132.930055
-10295.0,288,133.557172
-12615.0,288,138.336336
-11899.0,288,138.820674
-9798.0,288,139.44024
-10232.0,288,139.916027
-11730.0,288,140.391567
-12451.0,288,140.878235
-14400.0,288,141.34986
-13606.0,288,143.054485
-13174.0,288,143.534834
-11425.0,288,144.02319
-11738.0,288,144.650308
-11786.0,288,145.132428
-12341.0,288,145.598578
